PstId|PhoId|StiBezeichnungS|StiSynonymS
7403|87984|Stämningsbild|Detalj Marknadsföring
7405|87984|Pistoler|Skjutvapen Eldvapen
7406|87984|Grått|Gråa
7407|87985|Webbprojektet|
7408|87985|Riksvapen|
7409|87985|Detalj|Närbild Detaljer
7410|87986|Webbprojektet|
7411|87986|Rum D|Interiörer
7412|87986|Kungakläder|
7413|87987|Webbprojektet|
7414|87987|Kröningsdräkter|
7415|87987|Kungakläder|
7416|87987|Drottningkläder|
7417|87987|Rum D|Interiörer
7418|87988|Webbprojektet|
7419|87988|Detalj|Närbild Detaljer
7420|87988|Stämningsbild|Detalj Marknadsföring
7421|87988|Revolution|Revolutioner
7422|87988|Armbindel|
7423|87988|Gustav III|
7424|87988|Kungakläder|
7425|87989|Webbprojektet|
7426|87989|Stämningsbild|Detalj Marknadsföring
7427|87989|Spets|Spetsar
7428|87989|Klänning|Klänningar Kläder Dräkter
7429|87990|Webbprojektet|
7430|87990|Racket|Racketar Sport
7431|87990|Detalj|Närbild Detaljer
7432|87990|Tennis|Sport
7433|87991|Webbprojektet|
7434|87991|Barnuniform|
7436|87991|Detalj|Närbild Detaljer
7437|87991|Knappar|
7438|87992|Webbprojektet|
7439|87992|Stämningsbild|Detalj Marknadsföring
7440|87992|Blodig svepduk|
7441|87992|Gustav II Adolf|Gustaf II Adolf
7442|87993|Webbprojektet|
7443|87993|Spetskrage|Kragar
7444|87993|Gustav II Adolf|Gustaf II Adolf
7445|87993|Kungakläder|
7446|87994|Webbprojektet|
7447|87994|Streiff|Gustav II Adolfs häst
7448|87994|Häst|Hästar Djur
7449|87994|Uppstoppad|Uppstoppade
7450|87994|Stämningsbild|Detalj Marknadsföring
7451|87995|Webbprojektet|
7452|87995|Gustav III|
7453|87995|Stämningsbild|Detalj Marknadsföring
